Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Trey Ogden,Kurt Holobaugh,Lightweight,U-DEC,3,5:00,Win,74%,23,17,6,0,3.38,47%,3.59,58%,1.64,23%,100%,0.6,72%,29,21,8,0,4.37,43%,4.07,48%,0.71,36%,46%,0.9
Julian Erosa,Ricardo Ramos,Featherweight,SUB Guillotine Choke,1,2:15,Win,71%,41,29,12,0,6.14,48%,6.29,47%,1.63,46%,58%,0.8,73%,22,16,6,0,3.21,37%,3.74,57%,3.02,60%,72%,0.7
Miles Johns,Cody Gibson,Bantamweight,U-DEC,3,5:00,Win,88%,16,14,2,0,3.28,47%,2.55,68%,1.15,22%,85%,0,67%,30,20,10,0,4,43%,4.08,57%,1.28,28%,68%,0.2
Jarno Errens,Steven Nguyen,Featherweight,U-DEC,3,5:00,Win,70%,20,14,5,1,3.44,46%,3.36,63%,0,0%,28%,0.3,82%,11,9,2,0,7.15,40%,7.36,60%,0.28,100%,84%,0
Daria Zhelezniakova,Montserrat Rendon,Women's Bantamweight,U-DEC,3,5:00,Win,90%,10,9,1,0,3.8,38%,1.67,82%,0,0%,50%,0,86%,7,6,1,0,3.13,28%,3.9,54%,3,54%,100%,0
Andre Lima,Igor Severino,Flyweight,DQ,2,2:52,Win,100%,8,8,0,0,3.98,60%,2.67,60%,1.31,66%,61%,1.3,89%,9,8,1,0,7.17,52%,4.33,47%,9.69,71%,50%,0
Mick Parkin,Mohammed Usman,Heavyweight,U-DEC,3,5:00,Win,100%,9,9,0,0,4.54,51%,3.94,59%,1.6,41%,50%,0.3,79%,14,11,3,0,3.18,37%,4.21,52%,0.89,18%,0%,0
Marcin Tybura,Tai Tuivasa,Heavyweight,SUB Rear Naked Choke,1,4:08,Win,76%,33,25,8,0,3.6,48%,3.35,55%,1.43,33%,79%,0.1,68%,22,15,7,0,3.96,49%,5.05,43%,0,0%,57%,0
Bryan Battle,Ange Loosa,Welterweight,CNC,2,1:00,NC,85%,13,11,2,0,4.52,51%,3.74,44%,1.12,28%,47%,0.6,77%,13,10,3,0,6.09,46%,6.67,52%,2.05,42%,90%,0.2
Ovince Saint Preux,Kennedy Nzechukwu,Light Heavyweight,S-DEC,3,5:00,Win,61%,44,27,17,0,3.03,47%,3.32,47%,1.1,36%,67%,0.5,71%,17,12,5,0,5.13,45%,4.9,50%,0.6,45%,80%,0.2
Christian Rodriguez,Isaac Dulgarian,Featherweight,S-DEC,3,5:00,Win,92%,12,11,1,0,3.45,48%,2.28,57%,1.14,54%,66%,1.1,86%,7,6,1,0,2.88,58%,2.53,39%,6.06,47%,0%,1.5
